finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/cloud/security/findings/48ddc89c01548191aac6fdc953d4a69b,Easton97-Jens/ModSecurity-test-Framework,https://github.com/Easton97-Jens/ModSecurity-test-Framework,Workflow action pin checker misses flow-sequence uses,"The commit adds `ci/checks/security/check-workflow-action-pins.py` and wires it into the workflow and lint paths as the enforcement mechanism for immutable GitHub Actions pins. The parser checks normal block mappings and explicit flow mappings delimited with `{ ... }`, but it does not detect YAML's valid implicit mapping entries inside flow sequences. A workflow line like `steps: [ uses: actions/checkout@v7 ]` parses as a step containing `uses: actions/checkout@v7`, but `validate_workflow_directory()` returns no errors because `flow_mapping_uses_values()` only attempts extraction after `{` or commas while already inside a braced flow mapping. Since balanced `[...]` flow syntax is accepted rather than rejected, a PR can hide mutable external actions from the newly introduced full-SHA pin check.",high,new,2026-07-18T20:14:03.639770Z,2026-07-18 22:09:15 +0200,66330090+Easton97-Jens@users.noreply.github.com,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1240166325,e3b9903ddd2607d131e419ff780acbcee14ace3c,ci/checks/security/check-workflow-action-pins.py | github/workflows/check-action-versions.yml | Makefile,
https://chatgpt.com/codex/cloud/security/findings/bcbd96f10f448191803aba3e3b8a0070,Easton97-Jens/ModSecurity-test-Framework,https://github.com/Easton97-Jens/ModSecurity-test-Framework,Git status provenance check can execute repo fsmonitor hooks,"The commit introduces `git_worktree_clean()`, which calls `git -C <root> status --porcelain=v1 --untracked-files=all` on the connector and framework roots. `git status` is not a passive metadata read: it can invoke a repository-configured fsmonitor hook via `core.fsmonitor`. If `CONNECTOR_ROOT` points at a malicious local checkout containing a `.git/config` with `core.fsmonitor` set to an attacker-controlled executable, running the no-CRS evidence `init` path or `validate --check status|completeness|all` will execute that command as the CI/developer user. The previous provenance lookup used `rev-parse`, which does not invoke this hook in the same way; the new `status` call introduces the execution path. This can be mitigated by avoiding `git status` on untrusted repositories or invoking Git with safe overrides such as `-c core.fsmonitor=false` and other config/hook-disabling controls.",high,new,2026-07-13T16:26:04.223233Z,2026-07-10 21:21:52 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1240166325,b62707a5190e58de7f5c6c534349028a51b1c5a4,ci/no_crs_baseline.py,
https://chatgpt.com/codex/cloud/security/findings/16149ebc6acc8191ac9ee9d7e69c0df6,Easton97-Jens/ModSecurity-test-Framework,https://github.com/Easton97-Jens/ModSecurity-test-Framework,APXS auto-discovery trusts shared /var/tmp cache,"The new framework_find_apxs() fallback searches CONNECTOR_COMPONENT_CACHE and BUILD_ROOT for executable apxs/apxs2 files. On local runs where RUNNER_TEMP/TMPDIR are not set, these roots default to /var/tmp/ModSecurity-conector-verified, a predictable shared location. The code only checks that the candidate is executable; it does not verify that the directory was created by the current user/run, has safe ownership/permissions, or is under a private per-run directory. A local attacker on the same host can create /var/tmp/ModSecurity-conector-verified/component-cache/builds/connectors/apache/<name>/httpd/bin/apxs before the victim runs connector checks. The modified find_apxs_or_blocked() will then return that attacker-controlled executable. Existing helper code such as ci_resolve_apache_from_apxs() executes the returned APXS path to query configuration, and connector/build scripts commonly execute APXS during Apache module builds, giving command execution as the victim running the framework.",high,new,2026-07-07T18:19:55.141229Z,2026-07-06 17:53:35 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1240166325,b54a2c386b59be48695e05e95690a2f76928614d,ci/common.sh,
https://chatgpt.com/codex/cloud/security/findings/932c7c43d8d88191a06ca768bba69f42,Easton97-Jens/ModSecurity-test-Framework,https://github.com/Easton97-Jens/ModSecurity-test-Framework,Shared /tmp auto-discovery enables smoke cache poisoning,"The new connector_smoke_default_verified_roots function always adds /tmp/ModSecurity-conector-verified and /var/tmp/ModSecurity-conector-verified search locations, even when those paths were not configured for the current run. find_runtime_binary now searches these shared locations for executable connector runtimes, and connector_smoke_resolve_modsecurity_backend now scans their component-cache directories for libmodsecurity manifests/prefixes. Because /tmp and /var/tmp are shared writable locations on many developer and CI hosts, another local user or a previous untrusted job can pre-create a matching tree such as /tmp/ModSecurity-conector-verified/bin/envoy or /tmp/ModSecurity-conector-verified/component-cache/builds/modsecurity/*/manifest.json with attacker-controlled headers and libmodsecurity.so. A later smoke run can then select and execute/load that artifact without checksum, ownership, or provenance verification. Before this commit, discovery was limited to configured cache/build roots; the new hard-coded shared fallbacks introduce the poisoning path.",high,new,2026-06-23T11:57:25.945813Z,2026-06-23 11:50:44 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1240166325,c1e71c2b4146d47abe1bdedd1aae2c38d21cb055,ci/connector-smoke-common.sh,
https://chatgpt.com/codex/cloud/security/findings/49dfbbb3887c819187fdbd9b670341c1,Easton97-Jens/ModSecurity-test-Framework,https://github.com/Easton97-Jens/ModSecurity-test-Framework,Lighttpd build trusts staged source and unsafe build paths,"The new lighttpd build support treats any existing LIGHTTPD_SOURCE_STAGE_DIR as trusted and skips the pinned download and SHA256 verification path. With ALLOW_RUNTIME_BUILDS=1, the script then runs that directory's configure script. The staged source directory is not required to be under the component cache and is not tied to a verified archive, so a poisoned cache or attacker-controlled environment can cause arbitrary code execution in the CI/build account. Separately, LIGHTTPD_BUILD_ROOT is environment-controlled and is deleted with rm -rf. The only under-cache check used for it is a raw string prefix check, so values containing ../ can pass as if they are under CONNECTOR_COMPONENT_CACHE while resolving outside it. This bypasses the intended path restrictions and can delete or recreate directories outside the generated component cache.",high,new,2026-06-23T10:22:07.764082Z,2026-06-23 10:16:24 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1240166325,1cf327f5e4272d5d9bcf5ad6eb1b231d518f4a64,ci/prepare-lighttpd-runtime.sh | ci/runtime-component-common.sh,
https://chatgpt.com/codex/cloud/security/findings/6645193c8a4081919df834437048f38c,Easton97-Jens/ModSecurity-test-Framework,https://github.com/Easton97-Jens/ModSecurity-test-Framework,RESPONSE_BODY report guard now promotes pass-through to PASS,"RESPONSE_BODY pass-through cases explicitly do not prove that a connector can inspect and block response bodies. Before this commit, those rows were rendered as RESPONSE_BODY_PASS_THROUGH or prefixed non-promoted statuses, and check-response-body-promotion.py rejected any RESPONSE_BODY row that appeared as plain PASS. The commit sets RESPONSE_BODY_PASS_THROUGH_STATUS to PASS, makes response_body_pass_through_status() ignore classification, collapses all pass/fail classifications to plain PASS/FAIL, and removes the plain-PASS checks from the promotion guard. update-runtime-snapshot.py then serializes this computed value as matrix_status. As a result, a normal passing response_body_pass pass-through run, or a malicious connector/runtime summary reporting a RESPONSE_BODY-related case as pass, can be published in runtime matrices as plain PASS even though promotion_allowed remains false and the YAML limitations say pass-through is not blocking proof. This undermines the framework's security-evidence integrity and can create false assurance that a WAF connector supports RESPONSE_BODY enforcement.",high,new,2026-06-07T19:26:42.624139Z,2026-06-07 11:59:29 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1240166325,38a4ca7e8f7a1d2922601f897cd3d3fd06b2b957,ci/response_body_status.py | ci/update-runtime-snapshot.py | ci/check-response-body-promotion.py | tests/cases/response/body/response_body_pass.yaml,
https://chatgpt.com/codex/cloud/security/findings/54eada328eec819189aae57610065121,Easton97-Jens/ModSecurity-test-Framework,https://github.com/Easton97-Jens/ModSecurity-test-Framework,PR-controlled OSV workflow can forge security evidence,"The pull_request job in ci-security-osv.yml explicitly checks out github.event.pull_request.head.sha, then installs requirements-ci.lock from that checkout, runs ci/tools/fetch-security-tool.py and ci/tooling/security-tools.lock.yml from that same untrusted checkout, and finally runs ci/checks/security/check-json-result.py and compare-osv-results.py from the PR. Because these are the controls that are supposed to validate and compare the OSV results, a malicious PR can modify them to fetch a benign/fake scanner, always return clean JSON, mark evidence_valid=true, and cause the workflow to upload apparently valid OSV comparison artifacts. The workflow has read-only repository permissions, so this is not a token-exfiltration or write-token RCE issue, but it undermines the integrity of the newly introduced dependency-security evidence and required check result.",medium,new,2026-07-19T20:14:52.091007Z,2026-07-19 21:53:26 +0200,66330090+Easton97-Jens@users.noreply.github.com,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1240166325,6de40c1714410241e917e9083ee890a82fb2fdbb,github/workflows/ci-security-osv.yml,
https://chatgpt.com/codex/cloud/security/findings/864b7d9ee20081919d081396d2a233ad,Easton97-Jens/ModSecurity-test-Framework,https://github.com/Easton97-Jens/ModSecurity-test-Framework,Workflow checker misses serialized secret contexts,"The commit introduces ci/checks/security/check-github-actions-workflows.py to enforce the repository's workflow trust boundary. Its secret and github.token detection only matches direct property/index access, such as secrets.FOO, secrets['FOO'], github.token, or github['token']. GitHub Actions expressions can also expose entire contexts, for example ${{ toJSON(secrets) }} or ${{ toJSON(github) }}. Those strings do not match the new regexes, so contains_secret_reference() and contains_github_token_reference() return false. As a result, an unsafe pull_request workflow could place all available secrets into an environment variable, or a workflow/job-level environment could expose the github context including github.token under another name, while the new checker reports success. The currently committed workflows do not contain such a bypass, but the newly introduced security gate has a false negative that can provide false assurance for future workflow changes.",medium,new,2026-07-19T15:34:14.272054Z,2026-07-19 17:12:25 +0200,66330090+Easton97-Jens@users.noreply.github.com,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1240166325,7a12073c28e62a67492dd501b6513b9914fe5df8,ci/checks/security/check-github-actions-workflows.py,
https://chatgpt.com/codex/cloud/security/findings/baea266fb5888191bb324059eba138a2,Easton97-Jens/ModSecurity-test-Framework,https://github.com/Easton97-Jens/ModSecurity-test-Framework,Connector report normalization can overwrite symlink targets,"Before this commit, normalize_localized_overview_report_links returned unless OUTPUT_ROOT was the framework root. The commit removed that guard, so when generate-case-matrix.py is run against an untrusted connector repository, it now opens CONNECTOR_ROOT/reports/testing/test-coverage-overview.de.md directly. Path.is_file() follows symlinks, and write_text() follows the same symlink. A malicious connector repository can therefore add reports/testing/test-coverage-overview.de.md as a symlink to a writable file outside the connector tree; if the target contains a legacy generated-report link or a local path token that portable_markdown_text changes, the generator will overwrite the symlink target. This bypasses the ReportLayout._write_known allowed-output check used for normal generated reports and weakens the report-output confinement described by the project threat model.",medium,new,2026-07-13T16:45:01.960686Z,2026-07-12 19:07:07 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1240166325,06d09c6173d929911bbf75e79e9ee0bf7ea3f734,ci/reporting/generate-case-matrix.py,
https://chatgpt.com/codex/cloud/security/findings/ee0623b9b9388191b29b09766e413ad8,Easton97-Jens/ModSecurity-test-Framework,https://github.com/Easton97-Jens/ModSecurity-test-Framework,Protocol evidence accepts payload-capturing curl commands,"The commit adds protocol-client evidence validation intended to prove that forced H2/H3 probes are payload-free. However, _validate_command() only checks that the command text contains the substring ""--output /dev/null"" and uses a regex that only rejects forbidden flags when they are followed by whitespace or end-of-line. A crafted command can therefore include a valid safe-looking output option and then a later overriding option such as ""--output /tmp/leaked-body"", or use equals-form capture options such as ""--dump-header=/tmp/headers"" or ""--trace-ascii=/tmp/trace"". Curl accepts these forms, but the validator does not reject them. Because no_crs_baseline.py copies externally supplied protocol-client artifact bundles into the canonical run and then delegates validation to this checker, a malicious or compromised connector/harness can provide artifacts that pass as managed payload-free evidence while the recorded command would have captured response payloads or headers. This undermines the privacy and integrity guarantees of the new evidence path and can support false protocol PASS claims.",medium,new,2026-07-13T16:44:45.874001Z,2026-07-12 14:02:16 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1240166325,eb38249f025f804c19695910401bbcdf210b2b06,ci/check_protocol_evidence.py | ci/no_crs_baseline.py,
