finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/cloud/security/findings/b999e947ff14819194909c987bfffe0c,Easton97-Jens/ModSecurity-conector,https://github.com/Easton97-Jens/ModSecurity-conector,Apache Phase-4 response body blocking bypass,"In the Apache connector, response body buckets are now appended to libmodsecurity for inspection but are not retained by the connector. When a response brigade does not contain EOS, the filter immediately calls ap_pass_brigade() and sends the bytes onward. Phase-4 evaluation via msc_process_response_body() happens only later when EOS is seen. At that point, r->sent_bodyct may indicate that response data was already committed, causing the late-intervention resolver to choose log_only in the default safe mode. As a result, an attacker who can cause the protected upstream application to emit a response that is split across multiple brigades can receive content that a Phase-4 ModSecurity rule was configured to deny. This is a regression from the previous buffered design, which retained the response brigade until EOS and could deny before forwarding.",high,new,2026-07-13T16:32:33.045834Z,2026-07-11 12:51:47 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1239072110,2548ba0b61635aa718d23f3ebde4267bbb8cc47b,connectors/apache/src/msc_filters.c,
https://chatgpt.com/codex/cloud/security/findings/ea2693ca85e081919c0d74de8a854353,Easton97-Jens/ModSecurity-conector,https://github.com/Easton97-Jens/ModSecurity-conector,Privileged workflow executes updated submodule code,"The workflow grants `contents: write` and `pull-requests: write`, checks out `master` with the default `actions/checkout` credential persistence, updates submodules from their remote tracking branches, and then executes `make quick-check`. In this repository, `quick-check` depends on `lint`, and `lint` executes Python and shell scripts from `modules/ModSecurity-test-Framework`, which is an external Git submodule. Because `git submodule update --remote --recursive` moves that submodule to the latest remote commit before validation, anyone who can compromise or push to the submodule upstream can cause arbitrary code in that submodule's `ci` scripts to run in this privileged scheduled workflow. That code can use the persisted checkout credentials or working tree to push branches, alter generated PR contents, or otherwise abuse the workflow's repository write permissions. The `continue-on-error: true` setting also means a PR is still created after the check fails, so malicious modifications made before failure may still be packaged for review.",high,new,2026-07-01T12:59:41.880296Z,2026-07-01 13:28:35 +0200,66330090+Easton97-Jens@users.noreply.github.com,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1239072110,29d705bb0f3d548a93609610314043dbaf9c408e,github/workflows/update-submodules.yml | Makefile | gitmodules,
https://chatgpt.com/codex/cloud/security/findings/82d1951930f88191993e3fd64196e551,Easton97-Jens/ModSecurity-conector,https://github.com/Easton97-Jens/ModSecurity-conector,"Build guides now use unpinned, unverified source downloads","The new shared libmodsecurity guide makes the beginner/default path clone ModSecurity from GitHub without checking out a fixed tag, validating the resolved commit, verifying a tag, or running tests, then runs `sudo make install`. The NGINX guide similarly downloads an NGINX tarball without the previous signature verification and clones ModSecurity-nginx without pinning the release/commit. Before this commit, the connector guides used fixed refs, expected commit checks, and, for NGINX, release signature verification. This is a supply-chain hardening regression: users following the documented default path can build and install whatever the upstream default branch or downloaded artifact resolves to at that time. If an upstream repository, release distribution path, DNS/TLS trust path, or maintainer account is compromised, the documentation now steers users toward compiling and installing attacker-controlled WAF/connector code, potentially system-wide.",medium,new,2026-07-13T16:37:48.285738Z,2026-07-13 10:10:08 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1239072110,db89bfff6805d4befbffb2c29307385c84ec25b4,docs/build/compilers/libmodsecurity.md | docs/build/compilers/nginx.md | scripts/generate_compiler_guides.py,
https://chatgpt.com/codex/cloud/security/findings/150d3a5529348191962e6e0a5fd2f95e,Easton97-Jens/ModSecurity-conector,https://github.com/Easton97-Jens/ModSecurity-conector,Blocking auth service can be slowloris-DoSed,"The commit introduces common/runtime/http_authorization_service.c, used by the new Envoy ext_authz and Traefik forwardAuth starter services. The listener explicitly allows --listen 0.0.0.0:PORT, but after accept() the service processes the accepted socket inline and does not return to accept another connection until the full HTTP request, optional body, ModSecurity processing, and response write finish. Header and body reads use blocking recv() loops with no SO_RCVTIMEO, poll/select deadline, nonblocking mode, per-connection worker, or connection timeout. An attacker who can reach the service can connect and slowly drip an incomplete header, or declare a Content-Length within the configured body limit and never finish the body. That single connection blocks the entire authorization service. In a proxy deployment this can make legitimate requests hang or fail closed, causing an availability outage. The default smoke scripts use loopback, but the new CLI permits 0.0.0.0, making this remotely exploitable when operators expose the service.",medium,new,2026-07-10T16:07:28.052528Z,2026-07-10 15:53:29 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1239072110,671389882e295eb751d2ef93ff31a871f08016de,common/runtime/http_authorization_service.c,
https://chatgpt.com/codex/cloud/security/findings/2e7253929f408191b28ceff636c51541,Easton97-Jens/ModSecurity-conector,https://github.com/Easton97-Jens/ModSecurity-conector,Update workflow runs untrusted submodule code with write token,"Before this patch, the workflow YAML was invalid because unquoted scalar values containing ': ' prevented parsing. The patch quotes those values, so the scheduled/manual workflow can now run. In the now-active workflow, the job grants contents:write and pull-requests:write, checks out master without disabling actions/checkout's default persisted credentials, updates submodules from their remote HEADs, and then runs make quick-check. That target depends on lint, which executes Python and shell scripts from the submodule path. The configured submodule is an external GitHub repository. A malicious or compromised maintainer of that submodule can place code in the framework scripts so that the next scheduled/manual update executes attacker-controlled code with the workflow's write-capable GitHub token available through persisted git credentials. continue-on-error does not mitigate this because the attacker code runs before the failure is handled. The safer pattern is to validate unreviewed dependency updates in a read-only job with persist-credentials:false, or avoid executing code from the newly updated submodule until after review; grant write permissions only to a separate PR-creation step/job that does not run untrusted code.",medium,new,2026-07-01T14:02:23.803252Z,2026-07-01 13:45:53 +0200,66330090+Easton97-Jens@users.noreply.github.com,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1239072110,b4b4e95a8b4d814fc1c4dd73fd2358218d30d867,github/workflows/update-submodules.yml | gitmodules | Makefile,
https://chatgpt.com/codex/cloud/security/findings/288f6905b6888191afc8a8d54f8a73b3,Easton97-Jens/ModSecurity-conector,https://github.com/Easton97-Jens/ModSecurity-conector,CI evidence gate bypassed by governance-only report check,"This commit introduces a validation bypass in the generated-report security evidence gate. The strict `check-generated-report-layout` path still detects stale/blocked critical evidence and full-matrix critical runtime mismatches, but the new `report-governance` target calls the checker with `--governance-only`, which sets `strict_evidence` to false. In that mode, critical input freshness checks are skipped and `check_verified_runtime_diagnostics` returns immediately. The GitHub workflow now invokes only `make report-governance`, and `make lint` was also changed to invoke only `report-governance`, leaving the strict `verified-report-evidence-gate` target defined but not wired into the public workflow. I confirmed this behavior in the checked-out tree: the strict checker fails with `full-matrix critical mismatches detected: 764`, while the governance-only mode passes. This does not directly create a remote runtime exploit in the Apache/NGINX connectors, but it weakens a security-relevant CI gate intended to prevent merging with known critical WAF correctness evidence gaps.",medium,new,2026-06-17T03:09:49.988175Z,2026-06-17 02:46:23 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1239072110,dd6e0455c4838949ce86cff81ce89dccd4e524f8,github/workflows/verified-report-governance.yml | Makefile | ci/check-generated-report-layout.py,
https://chatgpt.com/codex/cloud/security/findings/52c89961fd688191bc3db5f62fb13653,Easton97-Jens/ModSecurity-conector,https://github.com/Easton97-Jens/ModSecurity-conector,Predictable /var/tmp verified-run root follows symlinks,"The production Apache/NGINX connector runtime code was not changed. However, the commit introduces a local security issue in the verified-run/build harness path handling. The Makefile now defaults VERIFIED_RUN_ROOT to ${RUNNER_TEMP:-${TMPDIR:-/var/tmp}}/ModSecurity-conector-verified. The new runtime_path_utils helper has the same fixed /var/tmp fallback and deliberately no longer treats /var/tmp as a forbidden system write location. run-verified-report-run.py then calls Path.mkdir(parents=True, exist_ok=True) and chmod(0755) on VERIFIED_RUN_ROOT and derived roots. These operations follow existing symlinks and do not verify owner, mode, or that the final resolved path is still a freshly-created private directory. On a multi-user host, an attacker can pre-create /var/tmp/ModSecurity-conector-verified as a symlink to an existing directory, or as an attacker-owned directory containing symlinks such as build, src, logs, or component-cache. If a more privileged user runs the verified tooling, the scripts may chmod the symlink target and later write build artifacts, logs, downloaded sources, or generated files under attacker-selected paths. At minimum this is a local denial-of-service/log redirection issue; when run as root it can alter permissions on sensitive directories and may expose or corrupt files. The safe pattern would be to use mkdtemp-style unpredictable roots or create the fixed root with O_NOFOLLOW/lstat ownership checks, reject symlinks, require the directory to be owned by the current user with safe permissions, and avoid chmoding paths resolved from attacker-writable parents.",medium,new,2026-06-16T16:43:39.050961Z,2026-06-16 16:30:18 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1239072110,b53340a84f9acd5fbc3aff3de136c92ac122c3fa,Makefile | ci/runtime_path_utils.py | ci/run-verified-report-run.py,
https://chatgpt.com/codex/cloud/security/findings/7e6fd07bad508191b32f788c751aed50,Easton97-Jens/ModSecurity-conector,https://github.com/Easton97-Jens/ModSecurity-conector,CI blocked-status marker can be spoofed via child output,"ci/tools/run-check-status.py classifies a child exit code 77 as an allowed blocked result when block_reason() finds exactly one approved CHECK_STATUS_REASON marker anywhere in the child's combined stdout and stderr. The wrapped Apache cleanup script emits diagnostic messages containing environment-controlled values such as FRAMEWORK_ROOT before exiting 77 for mandatory failures like a missing Framework. If such a value contains a newline followed by CHECK_STATUS_REASON apache_development_prerequisite, the runner treats that mandatory failure as the approved optional Apache development-prerequisite block and returns workflow success. This weakens CI integrity for the lint/quick-check path because the approval signal is parsed from unauthenticated mixed log output rather than a dedicated, non-injectable status channel.",low,new,2026-07-15T09:03:42.969961Z,2026-07-15 10:37:44 +0200,66330090+Easton97-Jens@users.noreply.github.com,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1239072110,57d8753bc9db93d42eeb8be806798c7b394a8076,ci/tools/run-check-status.py | Makefile | ci/checks/connectors/apache/check-apache-request-transaction-cleanup.sh,
https://chatgpt.com/codex/cloud/security/findings/f147dbdb477c8191ade85ee989531f17,Easton97-Jens/ModSecurity-conector,https://github.com/Easton97-Jens/ModSecurity-conector,Mixed Markdown fences bypass code-block parity check,"The commit adds fenced_blocks() and uses it to require exact parity between English and German fenced code blocks. However, the parser treats any line starting with either ``` or ~~~ as both an opener and a closer. Markdown requires a closing fence to use the same marker character as the opening fence, with sufficient length. Because the checker does not remember the opening fence marker, a code block opened with ~~~ can be prematurely closed in the checker by a line starting with ```, even though that line is still content in rendered Markdown. Lines after that premature close are ignored by the checker until the real closing ~~~ is seen as a new unclosed block. As a result, English and German docs can contain different rendered code/configuration inside a fenced block while check_pairs_and_switches() reports no fenced-code-block mismatch. This does not affect connector runtime enforcement, but it weakens the new documentation-integrity control and could let security-sensitive translated examples diverge unnoticed.",low,new,2026-07-13T20:21:38.048719Z,2026-07-13 20:03:02 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1239072110,66c09cc4787025ac2babd9612d0f0bfdf7958f26,ci/checks/documentation/check-bilingual-docs.py,
https://chatgpt.com/codex/cloud/security/findings/ebafc88227908191a734c2af867e68c9,Easton97-Jens/ModSecurity-conector,https://github.com/Easton97-Jens/ModSecurity-conector,Lighttpd Phase-4 deny can be applied after body is queued,"In the patched lighttpd connector, Phase-4 response-body decisions are made at entity EOS. The new DENY_IF_POSSIBLE path treats the response as safely replaceable whenever headers/body are not yet committed to the socket, using write_queue.bytes_out as the only commit signal. However earlier response body chunks may already have been accepted into lighttpd's output queue before EOS. The new branch calls mod_msconnector_apply_decision() and returns PLUGIN_BODY_HOOK_ABORT without explicitly clearing any already-queued response bytes. This can produce an inconsistent/mixed response or allow malicious response bytes that triggered a Phase-4 rule to remain queued while the connector records a deny-style host action. The parent code explicitly avoided this by treating EOS-time Phase-4 disruption as safe log-only because body data might already be queued.",low,new,2026-07-13T16:38:03.343988Z,2026-07-12 15:35:41 +0000,Jens_st97@gmx.de,,,false,user-cTR8W8YixbRnTZ4QJJXk1jpW:github-1239072110,02d4f4b3413acdc4b981dd3a2b9a1b4d3d506e2c,connectors/lighttpd/module/mod_msconnector.c | connectors/lighttpd/patches/0001-lighttpd-1.4.84-msconnector-stream-hooks.patch,
